Depth_from_Surface_cm,Age_wmean,Ave_Density,Ave_Organics,MagSuscept_10^-5
149,11252,1.0397,3.385591998,0.4905
150,11292.9,1.0693,4.180304872,0.871
151,11418.7,1.0452,4.037504784,1.89
152,11544.8,1.3321,3.393138653,1.56
153,11672.7,1.1723,4.367482726,2.35
154,11797.7,1.0895,4.130335016,3.935
155,11923.6,1.26,4.063492063,6.42
156,12050.2,1.1786,4.708976752,14.4
157,12177.9,1.1755,5.163760102,6.3
158,12303.3,1.0084,4.670765569,2.52
159,12430.5,1.065,3.314553991,1.26
160,12556.3,0.9042,3.074541031,0.61465
161,12682.7,0.8131,4.587381626,1.447985
162,12810.9,1.1977,2.41295817,2.77
163,12936.9,0.9025,2.891966759,2.475
164,13062.5,0.9638,2.863664661,4.025
165,13189.2,1.0083,3.203411683,3.01
166,13316.9,0.9331,5.96934948,4.205
167,13442.5,0.9176,4.206625981,5.365
168,13568.5,1.3002,2.068912475,6.39
169,13696.2,1.3113,2.653854953,6.655
170,13823.7,1.3178,2.071634542,7.805
171,13948.2,1.2461,2.255035711,7.475
172,14072.4,1.1604,2.257842123,8.165
173,14196.6,1.0966,2.553346708,7.295
174,14321.8,1.1064,3.45263919,6.855
175,14444.2,0.9381,3.261912376,8.325
176,14568.3,1.2421,2.890266484,6.23
177,14692.7,1.2668,2.691821913,7.205
178,14816.1,1.3438,2.120851317,4.76
179,14939.9,1.5219,2.595439911,3.3885
180,15065.8,1.2613,3.512249267,3.36
181,15189.9,1.2171,3.081094405,3.755
182,15312,0.9863,3.791949711,3.49
183,15437.9,1.2539,3.517026876,2.775
184,15560.4,1.0806,2.470849528,5.58
185,15684.6,1.3855,2.583904728,2.635
186,15810.1,1.6352,3.369618395,8.65
187,15933.2,1.2454,2.794282961,5.105
188,16057,1.1766,4.13054564,5.005
189,16181.1,1.2644,3.385004745,5.555
190,16305.1,1.1795,4.02713014,6.6
191,16430.1,1.3378,4.051427717,6.25
192,16554.8,1.2396,4.122297515,5.8
193,16680.4,1.3132,4.713676515,6.3
194,16802.1,1.0779,3.83152426,4.66
195,16925.6,1.31,3.603053435,7.1
196,17051.6,1.5238,3.537209608,5.265
197,17176.2,1.4307,3.921157475,3.14
198,17301.6,1.072,3.320895522,3.735
199,17423.1,1.2829,3.039987528,5.56
200,17551.1,1.2791,2.697208975,6.47
201,17677,1.2247,3.617212379,4.945
202,17805.1,1.5636,3.02507035,3.505
203,17932.7,NA,NA,3.285
204,18061.8,1.1838,2.889001521,5.02
205,18188.6,1.0931,2.744488153,4.835
206,18315.9,0.9403,4.126342657,5.615
207,18444,1.1589,2.821641211,5.975
208,18571.8,1.3016,4.502151199,6.91
209,18700.8,1.2348,3.053126012,6.24
210,18827.8,1.1413,3.653728205,6.63
211,18954.3,1.4678,4.850797111,5.81
212,19082.9,1.4388,4.614956909,6.98
213,19212.1,1.2361,4.384758515,6.165
214,19340.6,1.4161,4.05338606,6.755
215,19470.3,1.0806,3.757171942,6.58
216,19599.6,1.2171,3.270068195,5.815
217,19724.7,0.9335,2.978039636,5.625
218,19855.6,1.2141,3.525245037,7.52
219,19982.9,1.3143,3.393441376,6.84
220,20112,1.204,4.227574751,7.645
221,20240.6,1.3247,4.853929192,7.66
222,20370.2,1.2376,4.815772463,6.99
223,20499.3,1.3051,3.746839323,7.81
224,20628.6,1.2179,5.000410543,9.07
225,20756.2,1.1383,2.811209699,7.96
226,20886.2,0.0482,4.202266783,6.795
227,21015.1,0.0437,3.827290243,4.94
228,21143.6,0.0512,4.553539666,4.245
229,21273.7,0.0588,5.737704918,4.11
230,21403.8,0.0574,4.139622097,3.605
231,21532.1,1.2624,4.499366286,4.48
232,21659.7,1.3831,2.65345962,4.525
233,21790.5,1.3699,3.890794949,4.82
234,21919.8,1.0412,2.420284287,3.63755
235,22046.7,1.2373,2.327648913,4.335
